"Country";"Frequency Range";"Allocations";"Applications"
"IT";"146.000 - 161.962 MHz";"PMR";"#20B2AA"
"IT";"161.962 - 162.037 MHz";"AIS/Boats ID";"#483D8B"
"IT";"162.037 - 169.400 MHz";"PMR";"#20B2AA"
"IT";"169.400 - 174.000 MHz";"PMR/Mics";"#8FBC8F"
"IT";"174.000 - 240.000 MHz";"DAB+";"#FF69B4"
"IT";"328.600 - 335.400 MHz";"ILS/Aviation navigation";"#FF0000"
"IT";"380.000 - 385.000 MHz";"Tetrapol/uplink";"#DDFF22"
"IT";"385.000 - 390.000 MHz";"TETRA/uplink";"#FFFF00"
"IT";"390.000 - 395.000 MHz";"Tetrapol/downlink";"#DDFF22"
"IT";"395.000 - 400.000 MHz";"TETRA/downlink";"#FFFF00"
"IT";"400.150 - 405.000 MHz";"Weather baloons/downlink";"#B0E0E6"
"IT";"406.000 - 406.100 MHz";"COSPAS SARSAT/uplink";"#B0E0E6"
"IT";"410.000 - 420.000 MHz";"TETRA/uplink";"#FFFF00"
"IT";"420.000 - 430.000 MHz";"TETRA/downlink";"#FFFF00"
"IT";"431.000 - 435.000 MHz";"ISM 433";"#DC143C"
"IT";"435.000 - 451.310 MHz";"PMR DMR repeaters/70cm HAM";"#20B2AA"
"IT";"451.310 - 455.730 MHz";"Flash-OFDM/uplink";"#A9A9A9"
"IT";"455.730 - 461.310 MHz";"PMR DMR";"#20B2AA"
"IT";"461.310 - 465.730 MHz";"Flash-OFDM/downlink";"#A9A9A9"
"IT";"465.730 - 470.000 MHz";"PMR DMR";"#20B2AA"
"IT";"470.000 - 582.000 MHz";"TV IV/DVB-T";"#4B0082"
"IT";"582.000 - 694.000 MHz";"TV V/DVB-T";"#4B0082"
"IT";"703.000 - 713.000 MHz";"700/Iliad/uplink";"#9c0000"
"IT";"713.000 - 723.000 MHz";"700/TIM/uplink";"#004d94"
"IT";"723.000 - 733.000 MHz";"700/Vodafone/uplink";"#ff0000"
"IT";"758.000 - 768.000 MHz";"700/Iliad/downlink";"#9c0000"
"IT";"768.000 - 778.000 MHz";"700/TIM/downlink";"#004d94"
"IT";"778.000 - 788.000 MHz";"700/Vodafone/downlink";"#ff0000"
"IT";"791.000 - 801.000 MHz";"800/WindTre/downlink";"#ff6200"
"IT";"801.000 - 811.000 MHz";"800/TIM/downlink";"#004d94"
"IT";"811.000 - 821.000 MHz";"800/Vodafone/downlink";"#ff0000"
"IT";"823.000 - 832.000 MHz";"Mics";"#8FBC8F"
"IT";"832.000 - 842.000 MHz";"800/WindTre/uplink";"#ff6200"
"IT";"842.000 - 852.000 MHz";"800/TIM/uplink";"#004d94"
"IT";"852.000 - 862.000 MHz";"800/Vodafone/uplink";"#ff0000"
"IT";"863.000 - 870.000 MHz";"ISM 868";"#DC143C"
"IT";"876.000 - 880.000 MHz";"GSM-R/uplink";"#8c0065"
"IT";"880.100 - 885.150 MHz";"900/Iliad/uplink";"#9c0000"
"IT";"885.150 - 895.200 MHz";"900/TIM/uplink";"#004d94"
"IT";"895.200 - 905.100 MHz";"900/Vodafone/uplink";"#ff0000"
"IT";"905.100 - 914.800 MHz";"900/WindTre/uplink";"#ff6200"
"IT";"921.000 - 925.000 MHz";"GSM-R/downlink";"#8c0065"
"IT";"925.100 - 930.150 MHz";"900/Iliad/downlink";"#9c0000"
"IT";"930.150 - 940.200 MHz";"900/TIM/downlink";"#004d94"
"IT";"940.200 - 950.100 MHz";"900/Vodafone/downlink";"#ff0000"
"IT";"950.100 - 959.800 MHz";"900/WindTre/downlink";"#ff6200"
"IT";"1028.000 - 1032.000 MHz";"IFF - ADSB/Aviation tracking systems";"#FF0000"
"IT";"1088.000 - 1092.000 MHz";"IFF - ADSB/Aviation tracking systems";"#FF0000"
"IT";"1164.000 - 1215.000 MHz";"Galileo E5";"#7CFC00"
"IT";"1164.000 - 1189.000 MHz";"GPS L5";"#FF1493"
"IT";"1189.000 - 1214.000 MHz";"GLONASS G3";"#FF1493"
"IT";"1207.000 - 1208.000 MHz";"BeiDou B2";"#E0E6B0"
"IT";"1215.000 - 1240.000 MHz";"GPS L2";"#00BFFF"
"IT";"1237.000 - 1254.000 MHz";"GLONASS G2";"#FF1493"
"IT";"1260.000 - 1300.000 MHz";"Galileo E6";"#7CFC00"
"IT";"1268.000 - 1269.000 MHz";"BeiDou B3";"#E0E6B0"
"IT";"1400.000 - 1427.000 MHz";"Satellite sensors";"#B0E0E6"
"IT";"1452.000 - 1492.000 MHz";"DAB+";"#FF69B4"
"IT";"1518.000 - 1525.000 MHz";"Meteo MSS/uplink";"#B0E0E6"
"IT";"1525.000 - 1559.000 MHz";"INMARSAT/MSS";"#B0E0E6"
"IT";"1544.000 - 1546.000 MHz";"SARSAT LEOSAR MEOSAR GEOSAR/rescue repeaters";"#B68040"
"IT";"1559.000 - 1592.000 MHz";"Galileo E1";"#7CFC00"
"IT";"1561.000 - 1562.000 MHz";"BeiDou B1";"#E0E6B0"
"IT";"1563.000 - 1587.000 MHz";"GPS L1";"#00BFFF"
"IT";"1589.000 - 1590.000 MHz";"BeiDou B1-B2";"#E0E6B0"
"IT";"1593.000 - 1610.000 MHz";"GLONASS G1";"#FF1493"
"IT";"1610.000 - 1660.500 MHz";"MSS/downlink";"#B0E0E6"
"IT";"1670.000 - 1675.000 MHz";"MSS/downlink";"#B0E0E6"
"IT";"1690.000 - 1708.000 MHz";"Meteor - NOAA/HRPT downlink";"#B0E0E6"
"IT";"1715.000 - 1735.000 MHz";"1800/TIM/uplink";"#004d94"
"IT";"1735.000 - 1745.000 MHz";"1800/Iliad/uplink";"#9c0000"
"IT";"1745.100 - 1765.000 MHz";"1800/WindTre/uplink";"#ff6200"
"IT";"1765.000 - 1785.000 MHz";"1800/Vodafone/uplink";"#ff0000"
"IT";"1785.000 - 1805.000 MHz";"Mics";"#8FBC8F"
"IT";"1810.000 - 1830.000 MHz";"1800/TIM/downlink";"#004d94"
"IT";"1830.000 - 1840.000 MHz";"1800/Iliad/downlink";"#9c0000"
"IT";"1840.000 - 1860.000 MHz";"1800/WindTre/downlink";"#ff6200"
"IT";"1860.000 - 1880.000 MHz";"1800/Vodafone/downlink";"#ff0000"
"IT";"1880.000 - 1900.000 MHz";"DECT";"#556B2F"
"IT";"1920.000 - 1940.000 MHz";"2100/WindTre/uplink";"#ff6200"
"IT";"1940.000 - 1955.000 MHz";"2100/TIM/uplink";"#004d94"
"IT";"1955.000 - 1965.000 MHz";"2100/Iliad/uplink";"#9c0000"
"IT";"1965.000 - 1980.000 MHz";"2100/Vodafone/uplink";"#ff0000"
"IT";"1980.000 - 2010.000 MHz";"MSS/uplink";"#B0E0E6"
"IT";"2010.000 - 2025.000 MHz";"TV Cam";"#B0E0E6"
"IT";"2080.000 - 2110.000 MHz";"TV Retrans/uplink";"#B0E0E6"
"IT";"2110.000 - 2130.000 MHz";"2100/WindTre/downlink";"#ff6200"
"IT";"2130.000 - 2145.000 MHz";"2100/TIM/downlink";"#004d94"
"IT";"2145.000 - 2155.000 MHz";"2100/Iliad/downlink";"#9c0000"
"IT";"2155.000 - 2170.000 MHz";"2100/Vodafone/downlink";"#ff0000"
"IT";"2170.000 - 2200.000 MHz";"MSS/uplink";"#B0E0E6"
"IT";"2200.000 - 2300.000 MHz";"TV Retrans/downlink";"#B0E0E6"
"IT";"2300.000 - 2400.000 MHz";"TV Cam";"#B0E0E6"
"IT";"2409.000 - 2415.000 MHz";"WLAN/CH 1";"#DC143C"
"IT";"2414.000 - 2420.000 MHz";"WLAN/CH 2";"#DC143C"
"IT";"2419.000 - 2425.000 MHz";"WLAN/CH 3";"#DC143C"
"IT";"2424.000 - 2430.000 MHz";"WLAN/CH 4";"#DC143C"
"IT";"2429.000 - 2435.000 MHz";"WLAN/CH 5";"#DC143C"
"IT";"2434.000 - 2440.000 MHz";"WLAN/CH 6";"#DC143C"
"IT";"2439.000 - 2445.000 MHz";"WLAN/CH 7";"#DC143C"
"IT";"2444.000 - 2450.000 MHz";"WLAN/CH 8";"#DC143C"
"IT";"2449.000 - 2455.000 MHz";"WLAN/CH 9";"#DC143C"
"IT";"2454.000 - 2460.000 MHz";"WLAN/CH 10";"#DC143C"
"IT";"2459.000 - 2465.000 MHz";"WLAN/CH 11";"#DC143C"
"IT";"2464.000 - 2470.000 MHz";"WLAN/CH 12";"#DC143C"
"IT";"2469.000 - 2475.000 MHz";"WLAN/CH 13";"#DC143C"
"IT";"2483.500 - 2500.000 MHz";"TV Cam";"#B0E0E6"
"IT";"2510.000 - 2520.000 MHz";"2600/Iliad/uplink";"#9c0000"
"IT";"2520.000 - 2535.000 MHz";"2600/Vodafone/uplink";"#ff0000"
"IT";"2535.000 - 2550.000 MHz";"2600/TIM/uplink";"#004d94"
"IT";"2550.000 - 2570.000 MHz";"2600/WindTre/uplink";"#ff6200"
"IT";"2570.000 - 2600.000 MHz";"2600/WindTre/TDD";"#ff6200"
"IT";"2630.000 - 2640.000 MHz";"2600/Iliad/downlink";"#9c0000"
"IT";"2640.000 - 2655.000 MHz";"2600/Vodafone/downlink";"#ff0000"
"IT";"2655.000 - 2670.000 MHz";"2600/TIM/downlink";"#004d94"
"IT";"2670.000 - 2690.000 MHz";"2600/WindTre/downlink";"#ff6200"
"IT";"2700.000 - 2900.000 MHz";"Civil + military radar";"#FF0000"
"IT";"3437.000 - 3458.000 MHz";"3500/Fastweb/TDD";"#F5D400"
"IT";"3458.000 - 3479.000 MHz";"3500/TIM/TDD";"#004d94"
"IT";"3479.000 - 3500.000 MHz";"3500/WindTre/TDD";"#ff6200"
"IT";"3537.000 - 3558.000 MHz";"3500/Fastweb/TDD";"#F5D400"
"IT";"3558.000 - 3579.000 MHz";"3500/TIM/TDD";"#004d94"
"IT";"3579.000 - 3600.000 MHz";"3500/WindTre/TDD";"#ff6200"
"IT";"3600.000 - 3620.000 MHz";"3700/WindTre/TDD";"#ff6200"
"IT";"3620.000 - 3640.000 MHz";"3700/Iliad/TDD";"#9c0000"
"IT";"3640.000 - 3720.000 MHz";"3700/Vodafone/TDD";"#ff0000"
"IT";"3720.000 - 3800.000 MHz";"3700/TIM/TDD";"#004d94"
"IT";"3800.000 - 4200.000 MHz";"FSS/uplink";"#B0E0E6"
"IT";"5155.000 - 5165.000 MHz";"WLAN/CH 32";"#DC143C"	
"IT";"5165.000 - 5175.000 MHz";"WLAN/CH 34";"#DC143C"	
"IT";"5175.000 - 5185.000 MHz";"WLAN/CH 36";"#DC143C"
"IT";"5185.000 - 5195.000 MHz";"WLAN/CH 38";"#DC143C"
"IT";"5195.000 - 5205.000 MHz";"WLAN/CH 40";"#DC143C"
"IT";"5205.000 - 5215.000 MHz";"WLAN/CH 42";"#DC143C"
"IT";"5215.000 - 5225.000 MHz";"WLAN/CH 44";"#DC143C"
"IT";"5225.000 - 5235.000 MHz";"WLAN/CH 46";"#DC143C"
"IT";"5235.000 - 5245.000 MHz";"WLAN/CH 48";"#DC143C"
"IT";"5245.000 - 5255.000 MHz";"WLAN/CH 50";"#DC143C"
"IT";"5255.000 - 5265.000 MHz";"WLAN/CH 52";"#DC143C"
"IT";"5265.000 - 5275.000 MHz";"WLAN/CH 54";"#DC143C"
"IT";"5275.000 - 5285.000 MHz";"WLAN/CH 56";"#DC143C"
"IT";"5285.000 - 5295.000 MHz";"WLAN/CH 58";"#DC143C"
"IT";"5295.000 - 5305.000 MHz";"WLAN/CH 60";"#DC143C"
"IT";"5305.000 - 5315.000 MHz";"WLAN/CH 62";"#DC143C"
"IT";"5315.000 - 5325.000 MHz";"WLAN/CH 64";"#DC143C"
"IT";"5325.000 - 5335.000 MHz";"WLAN/CH 66";"#DC143C"
"IT";"5335.000 - 5345.000 MHz";"WLAN/CH 68";"#DC143C"
"IT";"5350.000 - 5470.000 MHz";"Meteo/radar";"#B0E0E6"
"IT";"5475.000 - 5485.000 MHz";"WLAN/CH 96";"#DC143C"	
"IT";"5495.000 - 5505.000 MHz";"WLAN/CH 100";"#DC143C"	
"IT";"5505.000 - 5515.000 MHz";"WLAN/CH 102";"#DC143C"
"IT";"5515.000 - 5525.000 MHz";"WLAN/CH 104";"#DC143C"
"IT";"5525.000 - 5535.000 MHz";"WLAN/CH 106";"#DC143C"
"IT";"5535.000 - 5545.000 MHz";"WLAN/CH 108";"#DC143C"
"IT";"5545.000 - 5555.000 MHz";"WLAN/CH 110";"#DC143C"
"IT";"5555.000 - 5565.000 MHz";"WLAN/CH 112";"#DC143C"
"IT";"5565.000 - 5575.000 MHz";"WLAN/CH 114";"#DC143C"
"IT";"5575.000 - 5585.000 MHz";"WLAN/CH 116";"#DC143C"
"IT";"5585.000 - 5595.000 MHz";"WLAN/CH 118";"#DC143C"
"IT";"5595.000 - 5605.000 MHz";"WLAN/CH 120";"#DC143C"
"IT";"5605.000 - 5615.000 MHz";"WLAN/CH 122";"#DC143C"
"IT";"5615.000 - 5625.000 MHz";"WLAN/CH 124";"#DC143C"
"IT";"5625.000 - 5635.000 MHz";"WLAN/CH 126";"#DC143C"
"IT";"5635.000 - 5645.000 MHz";"WLAN/CH 128";"#DC143C"
"IT";"5645.000 - 5655.000 MHz";"WLAN/CH 130";"#DC143C"
"IT";"5655.000 - 5665.000 MHz";"WLAN/CH 132";"#DC143C"
"IT";"5665.000 - 5675.000 MHz";"WLAN/CH 134";"#DC143C"
"IT";"5675.000 - 5685.000 MHz";"WLAN/CH 136";"#DC143C"
"IT";"5685.000 - 5695.000 MHz";"WLAN/CH 138";"#DC143C"
"IT";"5695.000 - 5705.000 MHz";"WLAN/CH 140";"#DC143C"
"IT";"5705.000 - 5715.000 MHz";"WLAN/CH 142";"#DC143C"
"IT";"5715.000 - 5725.000 MHz";"WLAN/CH 144";"#DC143C"
"IT";"5740.000 - 5750.000 MHz";"WLAN/CH 149";"#DC143C"
"IT";"5750.000 - 5760.000 MHz";"WLAN/CH 151";"#DC143C"
"IT";"5760.000 - 5770.000 MHz";"WLAN/CH 153";"#DC143C"
"IT";"5770.000 - 5780.000 MHz";"WLAN/CH 155";"#DC143C"
"IT";"5780.000 - 5790.000 MHz";"WLAN/CH 157";"#DC143C"
"IT";"5790.000 - 5800.000 MHz";"WLAN/CH 159";"#DC143C"
"IT";"5800.000 - 5810.000 MHz";"WLAN/CH 161";"#DC143C"
"IT";"5820.000 - 5830.000 MHz";"WLAN/CH 165";"#DC143C"
"IT";"5840.000 - 5850.000 MHz";"WLAN/CH 169";"#DC143C"
"IT";"5860.000 - 5870.000 MHz";"WLAN/CH 173";"#DC143C"
"IT";"10700.000 - 12700.000 MHz";"SAT TV";"#B4B200"
"IT";"26500.000 - 26700.000 MHz";"WindTre/TDD";"#DC143C"
"IT";"26700.000 - 26900.000 MHz";"Iliad/TDD";"#DC143C"
"IT";"26900.000 - 27100.000 MHz";"TIM/TDD";"#DC143C"
"IT";"27100.000 - 27300.000 MHz";"Fastweb/TDD";"#DC143C"
"IT";"27300.000 - 27500.000 MHz";"Vodafone/TDD";"#DC143C"
